filename,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rmse,zero_crossing_rate,name,surah,juz
54024,0.33701998,2075.155652,1693.162156,3803.747473,0.06684211,0.144077114,Maher_AlMuaiqly,Al-Kamar,27
54025,0.36352527,2120.473748,1649.554871,3814.490187,0.062789306,0.150608293,Maher_AlMuaiqly,Al-Kamar,27
54026,0.3988438,2315.896896,1688.306997,4074.364434,0.0678144,0.169975239,Maher_AlMuaiqly,Al-Kamar,27
54027,0.33919248,2146.610264,1734.223081,3896.876436,0.06039473,0.143985524,Maher_AlMuaiqly,Al-Kamar,27
54028,0.30845758,2089.458948,1678.318244,3853.627708,0.06079757,0.139464962,Maher_AlMuaiqly,Al-Kamar,27
54029,0.36156946,2049.8321,1662.729329,3786.364299,0.07253755,0.139425138,Maher_AlMuaiqly,Al-Kamar,27
54030,0.36734474,1998.603271,1668.48784,3711.272215,0.069159076,0.138459417,Maher_AlMuaiqly,Al-Kamar,27
54031,0.34803903,2175.725312,1697.51762,3925.638217,0.06985589,0.151932162,Maher_AlMuaiqly,Al-Kamar,27
54032,0.34174615,2173.981893,1753.534293,3929.48611,0.05987728,0.148318049,Maher_AlMuaiqly,Al-Kamar,27
54033,0.28230697,1877.787466,1735.52578,3629.0943,0.053716037,0.11279915,Maher_AlMuaiqly,Al-Kamar,27
54034,0.3357326,2194.525072,1719.251923,3989.923096,0.07535841,0.157016137,Maher_AlMuaiqly,Al-Kamar,27
54035,0.3466245,2282.519892,1743.131437,4025.132285,0.065212734,0.161992923,Maher_AlMuaiqly,Al-Kamar,27
54036,0.34012344,1944.574962,1656.406083,3702.990338,0.062329885,0.125144178,Maher_AlMuaiqly,Al-Kamar,27
54037,0.32698587,1995.919744,1681.867714,3777.383526,0.067553595,0.129438422,Maher_AlMuaiqly,Al-Kamar,27
54038,0.3463169,2187.9443,1817.25016,4090.744629,0.06461978,0.142471168,Maher_AlMuaiqly,Al-Kamar,27
54039,0.35526153,1892.383935,1651.071329,3712.565713,0.06407886,0.12608152,Maher_AlMuaiqly,Al-Kamar,27
54040,0.36368644,2169.026618,1781.369379,3974.874839,0.05577846,0.143363083,Maher_AlMuaiqly,Al-Kamar,27
54041,0.32698283,1993.972324,1621.312684,3708.523658,0.0730869,0.131048387,Maher_AlMuaiqly,Al-Kamar,27
54042,0.33557314,2142.754607,1767.269394,3898.998764,0.06484775,0.139949717,Maher_AlMuaiqly,Al-Kamar,27
54043,0.31127653,1908.425908,1677.986898,3676.618154,0.06602645,0.116554087,Maher_AlMuaiqly,Al-Kamar,27
54044,0.32569987,2077.307012,1745.564071,3957.916067,0.058708042,0.127957956,Maher_AlMuaiqly,Al-Kamar,27
54045,0.32105342,1949.732307,1714.742976,3789.432288,0.056176476,0.113757091,Maher_AlMuaiqly,Al-Kamar,27
54046,0.36994517,2294.994996,1789.874144,4131.196289,0.07700647,0.159154111,Maher_AlMuaiqly,Al-Kamar,27
54047,0.3224808,2125.21133,1720.03155,3884.601421,0.06561825,0.13703902,Maher_AlMuaiqly,Al-Kamar,27
54048,0.32005948,2244.002398,1859.128397,4149.18951,0.06648096,0.140428173,Maher_AlMuaiqly,Al-Kamar,27
54049,0.3101325,2027.417888,1636.840273,3727.650793,0.06285428,0.127774586,Maher_AlMuaiqly,Al-Kamar,27
54050,0.32291335,2024.440638,1690.550029,3799.204521,0.07010444,0.129327665,Maher_AlMuaiqly,Al-Kamar,27
54051,0.3463935,2099.448213,1657.399268,3788.719527,0.07046128,0.140995623,Maher_AlMuaiqly,Al-Kamar,27
54052,0.2845374,1928.384327,1789.548401,3841.387308,0.062553935,0.112425355,Maher_AlMuaiqly,Al-Kamar,27
54053,0.29552495,2116.743586,1884.110729,3945.033313,0.06675535,0.129213395,Maher_AlMuaiqly,Al-Kamar,27
54054,0.30796683,2103.942789,1712.176531,3807.006352,0.06643298,0.138376972,Maher_AlMuaiqly,Al-Kamar,27
54055,0.31939328,2085.146676,1695.851936,3804.174209,0.055559773,0.141096268,Maher_AlMuaiqly,Al-Kamar,27
55001,0.32827586,1893.968552,1601.062651,3653.904464,0.08186955,0.136012132,Maher_AlMuaiqly,Al-Rahman,27
55002,0.3463307,2029.338478,1578.406877,3791.83143,0.0704812,0.148264724,Maher_AlMuaiqly,Al-Rahman,27
55003,0.3148345,2080.219291,1799.628222,4086.368624,0.05828825,0.144795496,Maher_AlMuaiqly,Al-Rahman,27
55004,0.35596117,1980.076779,1606.200693,3735.461426,0.054394342,0.150599888,Maher_AlMuaiqly,Al-Rahman,27
55005,0.33055258,2450.99453,1900.796957,4441.394587,0.06531862,0.176602309,Maher_AlMuaiqly,Al-Rahman,27
